Params:lr = 0.001, n_d=8, n_a=8, gamma=1.2, n_steps=3, lambda=0.01, Score: 0.7062
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=3, lambda=0.001, Score: 0.8568
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=3, lambda=0.01, Score: 0.8515
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=5, lambda=0.001, Score: 0.8535
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=5, lambda=0.01, Score: 0.8540
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=7, lambda=0.001, Score: 0.8559
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=7, lambda=0.01, Score: 0.8568
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.5, n_steps=3, lambda=0.001, Score: 0.8516
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.5, n_steps=3, lambda=0.01, Score: 0.8476
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.5, n_steps=5, lambda=0.001, Score: 0.8539
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.5, n_steps=5, lambda=0.01, Score: 0.8497
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.5, n_steps=7, lambda=0.001, Score: 0.8526
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.5, n_steps=7, lambda=0.01, Score: 0.8533
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.8, n_steps=3, lambda=0.001, Score: 0.8549
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.8, n_steps=3, lambda=0.01, Score: 0.8522
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.8, n_steps=5, lambda=0.001, Score: 0.8540
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.8, n_steps=5, lambda=0.01, Score: 0.8511
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.8, n_steps=7, lambda=0.001, Score: 0.8548
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.8, n_steps=7, lambda=0.01, Score: 0.8543
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.2, n_steps=3, lambda=0.001, Score: 0.8560
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.2, n_steps=3, lambda=0.01, Score: 0.8541
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.2, n_steps=5, lambda=0.001, Score: 0.8486
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.2, n_steps=5, lambda=0.01, Score: 0.8552
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.2, n_steps=7, lambda=0.001, Score: 0.8578
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.2, n_steps=7, lambda=0.01, Score: 0.8529
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.5, n_steps=3, lambda=0.001, Score: 0.8493
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.5, n_steps=3, lambda=0.01, Score: 0.8520
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.5, n_steps=5, lambda=0.001, Score: 0.8537
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.5, n_steps=5, lambda=0.01, Score: 0.8538
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.5, n_steps=7, lambda=0.001, Score: 0.8568
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.5, n_steps=7, lambda=0.01, Score: 0.8538
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.8, n_steps=3, lambda=0.001, Score: 0.8379
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.8, n_steps=3, lambda=0.01, Score: 0.8519
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.8, n_steps=5, lambda=0.001, Score: 0.8522
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.8, n_steps=5, lambda=0.01, Score: 0.8512
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.8, n_steps=7, lambda=0.001, Score: 0.8525
Params:lr = 0.07, n_d=8, n_a=16, gamma=1.8, n_steps=7, lambda=0.01, Score: 0.8525
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.2, n_steps=3, lambda=0.001, Score: 0.8543
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.2, n_steps=3, lambda=0.01, Score: 0.8525
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.2, n_steps=5, lambda=0.001, Score: 0.8549
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.2, n_steps=5, lambda=0.01, Score: 0.8560
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.2, n_steps=7, lambda=0.001, Score: 0.8556
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.2, n_steps=7, lambda=0.01, Score: 0.8553
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.5, n_steps=3, lambda=0.001, Score: 0.8524
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.5, n_steps=3, lambda=0.01, Score: 0.8519
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.5, n_steps=5, lambda=0.001, Score: 0.8547
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.5, n_steps=5, lambda=0.01, Score: 0.8504
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.5, n_steps=7, lambda=0.001, Score: 0.8541
Params:lr = 0.07, n_d=8, n_a=32, gamma=1.5, n_steps=7, lambda=0.01, Score: 0.8551
